value
abind
acepack
adventr
agridat
anytime
ape
arm
ash
assertthat
audio
available
babynames
backports
base
base64enc
BayesFactor
bayesplot
BBmisc
bbplot
beepr
beeswarm
betareg
BH
bigrquery
bindr
bindrcpp
bit
bit64
bitops
blme
blob
blogdown
bmp
bookdown
boot
brew
bridgesampling
brms
Brobdingnag
broom
BTM
Cairo
callr
car
carData
caret
caTools
cellranger
checkmate
chron
circlize
class
classInt
cldr
cli
clipr
clisymbols
cluster
coda
codetools
coin
colorspace
colortools
colourpicker
commonmark
compiler
config
contfrac
corpcor
corrgram
corrplot
cowplot
crayon
crosstalk
cubature
curl
CVST
DAAG
data.table
datasets
DBI
dbplyr
ddalpha
deldir
dendextend
DEoptimR
desc
descr
deSolve
devtools
dichromat
digest
dimRed
diptest
downloader
dplyr
drake
DRR
DT
dygraphs
e1071
effects
effsize
elasticnet
elite
ellipse
elliptic
emmeans
enc
estimability
eurostat
evaluate
exifr
extrafont
extrafontdb
factoextra
FactoMineR
fansi
farver
fastGHQuad
fastmatch
fit.models
fivethirtyeight
flashClust
flatxml
flexmix
flextable
FNN
forcats
foreach
forecast
foreign
forge
formatR
Formula
fpc
fracdiff
fs
furrr
futile.logger
futile.options
future
future.apply
gam
GAMBoost
gamlss
gamlss.data
gamlss.dist
gapminder
gbm
gclus
gdalUtils
gdata
gdtools
generics
geniusR
geofacet
geogrid
geometry
geosphere
GGally
ggalt
gganimate
ggbeeswarm
ggbiplot
ggcorrplot
ggdark
ggedit
ggeffects
ggforce
ggfortify
gghighlight
ggiraph
ggiraphExtra
ggmap
ggpage
ggplot2
ggpmisc
ggpubr
ggraph
ggrepel
ggridges
ggsci
ggsignif
ggstance
ggthemes
ggvoronoi
gh
git2r
glmmTMB
glmnet
GlobalOptions
globals
glue
gmailr
gmodels
gmp
gofastr
gower
gplots
graphics
grDevices
grid
gridBase
gridExtra
gstat
gtable
gtools
gtrendsR
gutenbergr
h2o
happyorsad
haven
here
hexbin
highr
Hmisc
hms
htmlTable
htmltools
htmlwidgets
hts
httpuv
httr
huge
hunspell
hypergeo
igraph
imager
imguR
import
incidence
ini
inline
intervals
inum
ipred
irlba
irr
ISLR
ISOcodes
ISOweek
iterators
itsadug
janeaustenr
janitor
jcolors
jomo
jpeg
jsonlite
jtools
kableExtra
keras
kernlab
KernSmooth
knitr
labeling
lambda.r
languageR
lars
later
lattice
latticeExtra
lava
lazyeval
lda
LDAvis
leaflet
leaflet.extras
leaflet.minicharts
leaps
learnr
lettercase
libcoin
LiblineaR
lime
lingtypology
listenv
lm.beta
lme4
lmerTest
lmtest
loo
lpSolve
lubridate
magic
magick
magrittr
mallet
manipulateWidget
mapdata
mapproj
maps
maptools
mapview
markdown
MASS
Matrix
matrixcalc
MatrixModels
matrixStats
mboost
mc2d
mclust
MCMCglmm
memoise
merTools
methods
mgcv
mice
mime
miniUI
minqa
mitml
mitools
mlapi
mlmRev
mlr
mnormt
ModelMetrics
